function,encoding,crossover,run,fitness
ackley,real,arithmetic,0,2.5799275733794578
ackley,real,arithmetic,1,2.5799321087984883
ackley,real,arithmetic,2,8.121569945007678e-06
ackley,real,arithmetic,3,0.0002851738538258708
ackley,real,arithmetic,4,2.579930913955867
ackley,real,arithmetic,5,1.26901184462902e-05
ackley,real,arithmetic,6,5.381864383287926
ackley,real,arithmetic,7,2.714235532552678e-05
ackley,real,arithmetic,8,3.5744521662600133
ackley,real,arithmetic,9,2.5799275570450715
ackley,real,arithmetic,10,2.579927588429261
ackley,real,arithmetic,11,2.579928439070255
ackley,real,arithmetic,12,4.2897768226524136e-07
ackley,real,arithmetic,13,0.00030310314076276157
ackley,real,arithmetic,14,0.00022557086590824227
ackley,real,arithmetic,15,2.5799277993894134
ackley,real,arithmetic,16,2.5799275571244817
ackley,real,arithmetic,17,2.5799278551619627
ackley,real,arithmetic,18,2.5799276454098963
ackley,real,arithmetic,19,4.8043493627858425e-09
ackley,real,arithmetic,20,2.579927585843411
ackley,real,arithmetic,21,1.891710278600911e-05
ackley,real,arithmetic,22,3.5744525742114672
ackley,real,arithmetic,23,2.5799275570715428
ackley,real,arithmetic,24,6.6496220054723665e-06
ackley,real,arithmetic,25,3.2214958363585566e-05
ackley,real,arithmetic,26,2.579927634113162
ackley,real,arithmetic,27,1.2925712269851175e-05
ackley,real,arithmetic,28,2.579927932526321
ackley,real,arithmetic,29,3.574451877259339
ackley,real,blx,0,4.884065272610535
ackley,real,blx,1,6.117976227404398e-06
ackley,real,blx,2,5.000792623111039e-06
ackley,real,blx,3,4.7910992656330365e-05
ackley,real,blx,4,2.597486794586601e-05
ackley,real,blx,5,1.4238376206954229e-06
ackley,real,blx,6,2.5799275718103023
ackley,real,blx,7,1.4646063903445139e-05
ackley,real,blx,8,2.3927932197853607e-05
ackley,real,blx,9,9.57494930009517e-07
ackley,real,blx,10,1.635967952218209e-07
ackley,real,blx,11,1.4896670106345766e-06
ackley,real,blx,12,0.0005650962280303595
ackley,real,blx,13,2.189045301026482e-06
ackley,real,blx,14,1.3489885208883834e-08
ackley,real,blx,15,2.5799275571848175
ackley,real,blx,16,2.5799275961836377
ackley,real,blx,17,6.77896479617246e-06
ackley,real,blx,18,0.0003230126228506158
ackley,real,blx,19,4.9871864697070833e-05
ackley,real,blx,20,6.533830957566877e-05
ackley,real,blx,21,2.5799275584553887
ackley,real,blx,22,8.40944914104469e-06
ackley,real,blx,23,5.917749317241316e-07
ackley,real,blx,24,4.39409614516606e-06
ackley,real,blx,25,2.579927557741709
ackley,real,blx,26,2.5799275570864997
ackley,real,blx,27,5.724810652596446e-05
ackley,real,blx,28,0.0007523356966925299
ackley,real,blx,29,0.00035204190048476747
ackley,binary,1point,0,0.0003054904423653859
ackley,binary,1point,1,0.0003054904423653859
ackley,binary,1point,2,0.0003054904423653859
ackley,binary,1point,3,0.0003054904423653859
ackley,binary,1point,4,0.0003054904423653859
ackley,binary,1point,5,0.0003054904423653859
ackley,binary,1point,6,0.0003054904423653859
ackley,binary,1point,7,0.0003054904423653859
ackley,binary,1point,8,0.0003054904423653859
ackley,binary,1point,9,0.0003054904423653859
ackley,binary,1point,10,0.0003054904423653859
ackley,binary,1point,11,0.0003054904423653859
ackley,binary,1point,12,0.0003054904423653859
ackley,binary,1point,13,0.0003054904423653859
ackley,binary,1point,14,0.0003054904423653859
ackley,binary,1point,15,0.0003054904423653859
ackley,binary,1point,16,0.0003054904423653859
ackley,binary,1point,17,0.0003054904423653859
ackley,binary,1point,18,0.0003054904423653859
ackley,binary,1point,19,0.0003054904423653859
ackley,binary,1point,20,0.0003054904423653859
ackley,binary,1point,21,0.0003054904423653859
ackley,binary,1point,22,0.0003054904423653859
ackley,binary,1point,23,0.0003054904423653859
ackley,binary,1point,24,0.0003054904423653859
ackley,binary,1point,25,0.0003054904423653859
ackley,binary,1point,26,0.0003054904423653859
ackley,binary,1point,27,0.0003054904423653859
ackley,binary,1point,28,0.0003054904423653859
ackley,binary,1point,29,0.0003054904423653859
ackley,binary,2point,0,0.0003054904423653859
ackley,binary,2point,1,0.0003054904423653859
ackley,binary,2point,2,0.0003054904423653859
ackley,binary,2point,3,0.0003054904423653859
ackley,binary,2point,4,0.0003054904423653859
ackley,binary,2point,5,0.0003054904423653859
ackley,binary,2point,6,0.0003054904423653859
ackley,binary,2point,7,0.0003054904423653859
ackley,binary,2point,8,0.0003054904423653859
ackley,binary,2point,9,0.0003054904423653859
ackley,binary,2point,10,0.0003054904423653859
ackley,binary,2point,11,0.0003054904423653859
ackley,binary,2point,12,0.0003054904423653859
ackley,binary,2point,13,0.0003054904423653859
ackley,binary,2point,14,0.0003054904423653859
ackley,binary,2point,15,0.0003054904423653859
ackley,binary,2point,16,0.0003054904423653859
ackley,binary,2point,17,0.0003054904423653859
ackley,binary,2point,18,0.0003054904423653859
ackley,binary,2point,19,0.0003054904423653859
ackley,binary,2point,20,0.0003054904423653859
ackley,binary,2point,21,0.0003054904423653859
ackley,binary,2point,22,0.0003054904423653859
ackley,binary,2point,23,0.0003054904423653859
ackley,binary,2point,24,0.0003054904423653859
ackley,binary,2point,25,0.0003054904423653859
ackley,binary,2point,26,0.0003054904423653859
ackley,binary,2point,27,3.576177436416437
ackley,binary,2point,28,0.0003054904423653859
ackley,binary,2point,29,0.0003054904423653859
schaffer,real,arithmetic,0,0.18731564295277303
schaffer,real,arithmetic,1,0.3490548534190918
schaffer,real,arithmetic,2,0.29571077180141503
schaffer,real,arithmetic,3,0.031087557824313272
schaffer,real,arithmetic,4,0.07958069837711718
schaffer,real,arithmetic,5,0.2658620125068175
schaffer,real,arithmetic,6,0.055299659229899156
schaffer,real,arithmetic,7,0.1949877172245717
schaffer,real,arithmetic,8,0.08868068239378168
schaffer,real,arithmetic,9,0.15196457008419367
schaffer,real,arithmetic,10,0.3143889636256785
schaffer,real,arithmetic,11,0.04680996916791297
schaffer,real,arithmetic,12,0.060170231582943434
schaffer,real,arithmetic,13,0.03989841530197075
schaffer,real,arithmetic,14,0.20424699667467366
schaffer,real,arithmetic,15,0.2650061865573857
schaffer,real,arithmetic,16,0.023621483387982423
schaffer,real,arithmetic,17,0.1739298426718156
schaffer,real,arithmetic,18,0.019994413564642433
schaffer,real,arithmetic,19,0.1403915048370632
schaffer,real,arithmetic,20,0.08687483767384024
schaffer,real,arithmetic,21,0.010617166381490462
schaffer,real,arithmetic,22,0.16324159503609964
schaffer,real,arithmetic,23,0.2952882665989042
schaffer,real,arithmetic,24,0.34973184548623215
schaffer,real,arithmetic,25,0.03708513734977875
schaffer,real,arithmetic,26,0.009120669476167464
schaffer,real,arithmetic,27,0.0031266066483079946
schaffer,real,arithmetic,28,0.03067887788239193
schaffer,real,arithmetic,29,0.37610609795790717
schaffer,real,blx,0,1.0344229917080838e-09
schaffer,real,blx,1,0.14308724474927437
schaffer,real,blx,2,0.15812219804988104
schaffer,real,blx,3,0.012333170587860709
schaffer,real,blx,4,0.4313288638345504
schaffer,real,blx,5,0.13260431205850692
schaffer,real,blx,6,0.22530793597396165
schaffer,real,blx,7,0.0036578933984869333
schaffer,real,blx,8,0.0002853756794765627
schaffer,real,blx,9,0.014287704808415624
schaffer,real,blx,10,0.013136833020268968
schaffer,real,blx,11,0.03960807641600739
schaffer,real,blx,12,0.27907804316257256
schaffer,real,blx,13,0.141814663401091
schaffer,real,blx,14,0.003514882205607306
schaffer,real,blx,15,0.04096718521621229
schaffer,real,blx,16,0.00876354725781009
schaffer,real,blx,17,0.0064991349199124415
schaffer,real,blx,18,0.00808034659289808
schaffer,real,blx,19,0.002260654956094288
schaffer,real,blx,20,0.011031890495437069
schaffer,real,blx,21,0.12654036962942988
schaffer,real,blx,22,0.010808812124266154
schaffer,real,blx,23,0.0692047340431512
schaffer,real,blx,24,0.14475447705288597
schaffer,real,blx,25,0.18427900295022115
schaffer,real,blx,26,0.004346302081299047
schaffer,real,blx,27,0.20076780258374655
schaffer,real,blx,28,0.16243025025931285
schaffer,real,blx,29,0.05061897185788966
schaffer,binary,1point,0,0.052711317481660136
schaffer,binary,1point,1,0.0004329133085804182
schaffer,binary,1point,2,0.023484241477600143
schaffer,binary,1point,3,0.06894367459505057
schaffer,binary,1point,4,0.03647661870389396
schaffer,binary,1point,5,0.019030788093268136
schaffer,binary,1point,6,0.07250077866384325
schaffer,binary,1point,7,0.000819897810720116
schaffer,binary,1point,8,0.006726209484511858
schaffer,binary,1point,9,0.011361044193448855
schaffer,binary,1point,10,0.0007039206914918883
schaffer,binary,1point,11,0.04486013294398555
schaffer,binary,1point,12,0.021746148835779966
schaffer,binary,1point,13,0.005248477033304555
schaffer,binary,1point,14,0.006317405021403266
schaffer,binary,1point,15,0.015669260778235994
schaffer,binary,1point,16,4.656754926113393e-09
schaffer,binary,1point,17,0.04198203132412209
schaffer,binary,1point,18,0.0003107313069457551
schaffer,binary,1point,19,0.0003107313069457551
schaffer,binary,1point,20,0.009458867757905165
schaffer,binary,1point,21,0.002398695454771005
schaffer,binary,1point,22,0.006070624740408259
schaffer,binary,1point,23,0.002669943627649163
schaffer,binary,1point,24,0.01809221830128993
schaffer,binary,1point,25,0.1399278846438925
schaffer,binary,1point,26,0.0003375738404474693
schaffer,binary,1point,27,0.004937503067467819
schaffer,binary,1point,28,0.13753142673724633
schaffer,binary,1point,29,0.13963038896619367
schaffer,binary,2point,0,0.1278064998432747
schaffer,binary,2point,1,0.015379921532743979
schaffer,binary,2point,2,0.010161090933602734
schaffer,binary,2point,3,0.0393947507927665
schaffer,binary,2point,4,0.06397322298748648
schaffer,binary,2point,5,0.015672854048178864
schaffer,binary,2point,6,0.02661386045155828
schaffer,binary,2point,7,0.0229427852985441
schaffer,binary,2point,8,0.002203350408314708
schaffer,binary,2point,9,0.024403860018647028
schaffer,binary,2point,10,0.05162693894790937
schaffer,binary,2point,11,0.00023793042383662977
schaffer,binary,2point,12,0.0003107313069457551
schaffer,binary,2point,13,0.008579273984717306
schaffer,binary,2point,14,0.01380058768369219
schaffer,binary,2point,15,0.0019556741009010836
schaffer,binary,2point,16,0.14084517953843884
schaffer,binary,2point,17,0.0007039206914918883
schaffer,binary,2point,18,0.0002033496668347179
schaffer,binary,2point,19,0.009385896219998247
schaffer,binary,2point,20,0.04361733982756266
schaffer,binary,2point,21,0.02208810583063414
schaffer,binary,2point,22,0.0021353121579779644
schaffer,binary,2point,23,0.09683791544300535
schaffer,binary,2point,24,0.011701695167773307
schaffer,binary,2point,25,0.04674006389897278
schaffer,binary,2point,26,0.039518806041543175
schaffer,binary,2point,27,0.047261609075318345
schaffer,binary,2point,28,0.00012141631907391925
schaffer,binary,2point,29,0.0030338808243990933
